Evaluation Function Value,2083.896812155168

Problem,Knapsack
Algorithm,SA
Temperature,1e+19
Cooling,8000.0
Iterations,8000
Run,8
Num Items,40
Copies_Each,4
Max Weight,50
Max Volume,50
