Evaluation Function Value,3733.7768637411086

Problem,Knapsack
Algorithm,MIMIC
Samples,1000
To Keep,100
Iterations,100
Run,2
Num Items,40
Copies_Each,4
Max Weight,50
Max Volume,50
