Evaluation Function Value,1893.203622843289

Problem,Knapsack
Algorithm,SA
Temperature,800000000000.0
Cooling,800.0
Iterations,6000
Population,60
Mating,30
Mutation,12
Samples,200
To Keep,20
Run,6
Num Items,40
Copies_Each,4
Max Weight,50
Max Volume,50
