Evaluation Function Value,4376.5483928787135

Evaluation Function Value,4376.5483928787135
Problem,Knapsack
Algorithm,GA
Population,1000
Mating,150
Mutation,25
Iterations,1000
Run,1
Num Items,40
Copies_Each,4
Max Weight,50
Max Volume,50
