Evaluation Function Value,1948.701014921221

Problem,Knapsack
Algorithm,SA
Temperature,1000000000000.0
Cooling,1000.0
Iterations,1000
Population,10
Mating,5
Mutation,2
Samples,200
To Keep,20
Run,1
Num Items,40
Copies_Each,4
Max Weight,50
Max Volume,50
