Evaluation Function Value,3658.4694984035887

Problem,Knapsack
Algorithm,MIMIC
Samples,1500
To Keep,300
Iterations,3000
Run,3
Num Items,40
Copies_Each,4
Max Weight,50
Max Volume,50
