Evaluation Function Value,4364.294608346197

Problem,Knapsack
Algorithm,MIMIC
Temperature,800000000000.0
Cooling,800.0
Iterations,3000
Population,30
Mating,15
Mutation,6
Samples,200
To Keep,20
Run,3
Num Items,40
Copies_Each,4
Max Weight,50
Max Volume,50
