Evaluation Function Value,1936.9133341171917

Problem,Knapsack
Algorithm,SA
Temperature,700000000000.0
Cooling,700.0
Iterations,3000
Population,30
Mating,15
Mutation,6
Samples,200
To Keep,20
Run,3
Num Items,40
Copies_Each,4
Max Weight,50
Max Volume,50
