Evaluation Function Value,3680.5557309597957

Problem,Knapsack
Algorithm,MIMIC
Samples,500
To Keep,100
Iterations,1000
Run,1
Num Items,40
Copies_Each,4
Max Weight,50
Max Volume,50
