Evaluation Function Value,3612.5093427049214

Problem,Knapsack
Algorithm,MIMIC
Temperature,700000000000.0
Cooling,700.0
Iterations,4000
Population,40
Mating,20
Mutation,8
Samples,200
To Keep,20
Run,4
Num Items,40
Copies_Each,4
Max Weight,50
Max Volume,50
