Evaluation Function Value,2030.9043660266425

Problem,Knapsack
Algorithm,SA
Temperature,200000000000.0
Cooling,200.0
Iterations,4000
Population,40
Mating,20
Mutation,8
Samples,200
To Keep,20
Run,4
Num Items,40
Copies_Each,4
Max Weight,50
Max Volume,50
