Evaluation Function Value,2240.256462150429

Problem,Knapsack
Algorithm,SA
Temperature,100000000000.0
Cooling,6.65
Iterations,7000
Run,10
Num Items,40
Copies_Each,4
Max Weight,50
Max Volume,50
