Evaluation Function Value,3440.1294975626147

Problem,Knapsack
Algorithm,MIMIC
Temperature,800000000000.0
Cooling,800.0
Iterations,2000
Population,20
Mating,10
Mutation,4
Samples,200
To Keep,20
Run,2
Num Items,40
Copies_Each,4
Max Weight,50
Max Volume,50
