Evaluation Function Value,3814.3171401797367

Problem,Knapsack
Algorithm,MIMIC
Samples,200
To Keep,100
Iterations,1000
Run,6
Num Items,40
Copies_Each,4
Max Weight,50
Max Volume,50
