Evaluation Function Value,1930.0621730703099

Problem,Knapsack
Algorithm,SA
Temperature,100000000000.0
Cooling,6.65
Iterations,7000
Run,4
Num Items,40
Copies_Each,4
Max Weight,50
Max Volume,50
