Evaluation Function Value,1588.6642222805106

Problem,Knapsack
Algorithm,SA
Temperature,10000000000000.0
Cooling,200.0
Iterations,2000
Run,2
Num Items,40
Copies_Each,4
Max Weight,50
Max Volume,50
