Evaluation Function Value,1948.2106390960178

Problem,Knapsack
Algorithm,SA
Temperature,600000000000.0
Cooling,600.0
Iterations,9000
Population,90
Mating,45
Mutation,18
Samples,200
To Keep,20
Run,9
Num Items,40
Copies_Each,4
Max Weight,50
Max Volume,50
