Evaluation Function Value,2019.7277100126935

Problem,Knapsack
Algorithm,SA
Temperature,100000000000.0
Cooling,1.9
Iterations,2000
Run,1
Num Items,40
Copies_Each,4
Max Weight,50
Max Volume,50
