Evaluation Function Value,2335.631987468339

Problem,Knapsack
Algorithm,SA
Temperature,100000000000.0
Cooling,4.75
Iterations,5000
Run,1
Num Items,40
Copies_Each,4
Max Weight,50
Max Volume,50
