Evaluation Function Value,3730.9626297304117

Problem,Knapsack
Algorithm,SA
Temperature,300000000000.0
Cooling,0.95
Iterations,3000
Run,10
Num Items,40
Copies_Each,4
Max Weight,50
Max Volume,50
