Evaluation Function Value,2064.443359960844

Problem,Knapsack
Algorithm,SA
Temperature,100000000000.0
Cooling,9.5
Iterations,10000
Run,3
Num Items,40
Copies_Each,4
Max Weight,50
Max Volume,50
