Evaluation Function Value,3598.8434475983363

Problem,Knapsack
Algorithm,MIMIC
Samples,1000
To Keep,100
Iterations,200
Run,2
Num Items,40
Copies_Each,4
Max Weight,50
Max Volume,50
