Evaluation Function Value,3156.34889795

Problem,Knapsack
Algorithm,RHC
Temperature,400000000000.0
Cooling,400.0
Iterations,5000
Population,50
Mating,25
Mutation,10
Samples,200
To Keep,20
Run,5
Num Items,40
Copies_Each,4
Max Weight,50
Max Volume,50
