9.75
10.15
10.25
11.7
12.55
12.4
12.6
12.9
12.45
12.85
13.3
13.25
13.55
12.85
13.55
14.3
14.7
14.75
15.05
14.8

Problem: count_ones
Algorithm: GA
Optimal Value: 17.0
