4.95
5.6
6.25
7.05
7.7
7.8
7.95
7.95
7.9
8.35
8.3
8.5
8.4
8.5
8.4
8.15
8.1
8.0
8.05
8.2

Problem: count_ones
Algorithm: GA
Optimal Value: 10.0
