1.77
4.355
11.805
22.335
23.815
26.04
27.145
27.95
28.105
27.95
28.505
28.78
28.805
28.525
28.725
29.04
29.225
29.185
28.955
29.47

Problem: four_peaks
Algorithm: GA
Optimal Value: 32.0
