1.765
3.95
7.325
10.945
12.31
13.485
13.645
14.115
14.62
14.62
14.835
14.94
14.875
15.065
15.22
15.075
15.09
15.27
15.14
15.46

Problem: four_peaks
Algorithm: GA
Optimal Value: 17.0
