5.2
5.6
6.1
6.15
6.4
6.45
6.45
6.55
7.3
7.5
7.75
7.85
7.7
7.65
7.75
7.75
8.1
8.3
8.45
8.5

Problem: count_ones
Algorithm: GA
Optimal Value: 9.0
