5.0
15.0
17.0
17.0
17.0
17.0
17.0
17.0
17.0
17.0
17.0
17.0
17.0
17.0
17.0
17.0
17.0
17.0
17.0
17.0

Problem: four_peaks
Algorithm: MIMIC
Optimal Value: 17.0
